geopotential_height,Year,Month
-0.083,2007,1
0.075,2007,2
-0.57,2007,3
-1.035,2007,4
-0.612,2007,5
-1.198,2007,6
-2.631,2007,7
-0.108,2007,8
0.031,2007,9
-0.434,2007,10
-0.984,2007,11
1.929,2007,12
1.208,2008,1
1.147,2008,2
0.587,2008,3
-0.873,2008,4
-0.49,2008,5
1.348,2008,6
0.32,2008,7
0.087,2008,8
1.386,2008,9
1.215,2008,10
0.92,2008,11
1.194,2008,12
0.963,2009,1
0.456,2009,2
0.605,2009,3
0.029,2009,4
-0.733,2009,5
-0.47,2009,6
-1.234,2009,7
-0.686,2009,8
-0.017,2009,9
0.085,2009,10
-1.915,2009,11
0.607,2009,12
-0.757,2010,1
-0.775,2010,2
0.108,2010,3
0.377,2010,4
1.021,2010,5
2.071,2010,6
2.424,2010,7
1.51,2010,8
0.402,2010,9
1.335,2010,10
1.516,2010,11
0.205,2010,12
0.052,2011,1
1.074,2011,2
-0.296,2011,3
-0.87,2011,4
1.266,2011,5
-0.099,2011,6
-1.384,2011,7
-1.202,2011,8
-1.25,2011,9
0.388,2011,10
-0.908,2011,11
2.573,2011,12
1.583,2012,1
-0.283,2012,2
0.275,2012,3
0.666,2012,4
0.153,2012,5
-0.197,2012,6
1.259,2012,7
0.489,2012,8
0.562,2012,9
-0.444,2012,10
-1.701,2012,11
-0.764,2012,12
0.071,2013,1
0.716,2013,2
1.375,2013,3
0.611,2013,4
0.36,2013,5
-0.271,2013,6
0.945,2013,7
-1.561,2013,8
-1.658,2013,9
-0.458,2013,10
0.189,2013,11
0.061,2013,12
-0.683,2014,1
0.322,2014,2
0.467,2014,3
0.614,2014,4
-0.445,2014,5
0.841,2014,6
0.247,2014,7
-0.059,2014,8
-1.119,2014,9
-0.039,2014,10
-0.519,2014,11
1.322,2014,12
0.675,2015,1
1.217,2015,2
0.773,2015,3
1.029,2015,4
0.416,2015,5
0.711,2015,6
1.678,2015,7
1.062,2015,8
0.542,2015,9
-0.17,2015,10
0.695,2015,11
-0.059,2015,12
1.392,2016,1
1.093,2016,2
2.038,2016,3
0.097,2016,4
0.012,2016,5
2.565,2016,6
0.407,2016,7
-0.739,2016,8
2.333,2016,9
-0.177,2016,10
-1.508,2016,11
-0.711,2016,12
-0.982,2017,1
-0.015,2017,2
0.156,2017,3
0.619,2017,4
1.053,2017,5
0.546,2017,6
0.728,2017,7
0.764,2017,8
1.296,2017,9
-0.568,2017,10
0.771,2017,11
0.984,2017,12
1.275,2018,1
1.041,2018,2
0.141,2018,3
-1.166,2018,4
-0.077,2018,5
-0.012,2018,6
0.377,2018,7
-0.343,2018,8
1.458,2018,9
0.53,2018,10
0.991,2018,11
0.93,2018,12
0.677,2019,1
-0.5,2019,2
0.745,2019,3
0.336,2019,4
0.335,2019,5
1.465,2019,6
-0.39,2019,7
-1.08,2019,8
0.563,2019,9
-0.925,2019,10
-1.84,2019,11
-1.36,2019,12
-0.231,2020,1
0.275,2020,2
1.426,2020,3
-0.475,2020,4
0.577,2020,5
1.071,2020,6
-0.546,2020,7
-0.72,2020,8
0.194,2020,9
1.264,2020,10
0.813,2020,11
1.481,2020,12
1.045,2021,1
1.344,2021,2
0.086,2021,3
0.827,2021,4
0.314,2021,5
1.179,2021,6
-0.46,2021,7
-0.227,2021,8
1.336,2021,9
0.453,2021,10
1.321,2021,11
2.155,2021,12
0.825,2022,1
0.643,2022,2
0.558,2022,3
0.532,2022,4
0.096,2022,5
-0.871,2022,6
0.447,2022,7
0.731,2022,8
1.469,2022,9
0.33,2022,10
1.713,2022,11
1.7,2022,12
2.304,2023,1
0.554,2023,2
-0.258,2023,3
-0.921,2023,4
1.452,2023,5
-0.438,2023,6
-0.818,2023,7
-0.038,2023,8
-1.05,2023,9
0.535,2023,10
0.097,2023,11
1.51,2023,12
0.922,2024,1
1.043,2024,2
-0.058,2024,3
1.005,2024,4
-0.073,2024,5
0.21,2024,6
-0.597,2024,7
-2.15,2024,8
0.098,2024,9
-0.567,2024,10
1.02,2024,11
-0.826,2024,12
