date,lake,sediment
2017-12-02,Lake Fryxell,0.213415755939574
2017-12-02,West Lake Bonney,0.5531055841321734
2017-12-07,East Lake Bonney,0.38603925100121733
2017-12-07,Lake Hoare,0.17616725048804574
2017-12-07,Lake Fryxell,0.19330538697133146
2017-12-07,West Lake Bonney,0.5775187442253739
2017-12-16,East Lake Bonney,0.5591553251064283
2017-12-16,Lake Hoare,0.26486987968309716
2017-12-16,Lake Fryxell,0.12681710518854358
2017-12-16,West Lake Bonney,0.6154717794996343
2017-12-23,East Lake Bonney,0.5872863570082262
2017-12-23,Lake Hoare,0.29849584110784966
2017-12-23,Lake Fryxell,0.15439744146547268
2017-12-23,West Lake Bonney,0.6362203929011211
2018-01-03,East Lake Bonney,0.4376385628124321
2018-01-03,Lake Hoare,0.29055809632636076
2018-01-03,Lake Fryxell,0.16700128600609274
2018-01-03,West Lake Bonney,0.5482055796627057
2018-01-05,East Lake Bonney,0.41407094022880186
2018-01-05,Lake Hoare,0.2767668935922118
2018-01-05,Lake Fryxell,0.1605026118168391
2018-01-05,West Lake Bonney,0.6409248683444954
2018-01-07,East Lake Bonney,NA
2018-01-07,Lake Hoare,NA
2018-01-07,Lake Fryxell,0.15828531008482702
2018-01-07,West Lake Bonney,NA
2018-01-10,East Lake Bonney,0.4550990671782407
2018-01-10,Lake Hoare,0.32480628710680653
2018-01-10,Lake Fryxell,0.13918415663941436
2018-01-10,West Lake Bonney,0.5312798025869198
2018-01-12,East Lake Bonney,0.4766505100567421
2018-01-12,Lake Hoare,0.3174963138348378
2018-01-12,Lake Fryxell,0.14184468323332097
2018-01-12,West Lake Bonney,0.5515612584196906
2018-01-14,East Lake Bonney,0.4548868847034715
2018-01-14,Lake Hoare,0.3107780195069446
2018-01-14,Lake Fryxell,0.14893971747822773
2018-01-14,West Lake Bonney,0.54968543800572
2018-01-19,East Lake Bonney,0.46258646267716635
2018-01-19,Lake Hoare,0.31292835262129254
2018-01-19,Lake Fryxell,0.1557009954977575
2018-01-19,West Lake Bonney,0.5577552318788476
2018-01-26,East Lake Bonney,0.6968238042930429
2018-01-26,Lake Hoare,0.5133229888835893
2018-01-26,Lake Fryxell,0.14369552028122115
2018-01-26,West Lake Bonney,0.7572803740326475
2018-01-30,East Lake Bonney,0.6201162604687583
2018-01-30,Lake Hoare,0.44017606679839444
2018-01-30,Lake Fryxell,0.127914518730357
2018-01-30,West Lake Bonney,0.700697020961942
2018-11-05,East Lake Bonney,0.7777729367656112
2018-11-05,Lake Hoare,0.5057696146507703
2018-11-05,Lake Fryxell,0.12308198003600158
2018-11-05,West Lake Bonney,0.8375902438340771
2018-11-07,East Lake Bonney,0.7310394903821392
2018-11-07,Lake Hoare,0.3316198682113645
2018-11-07,Lake Fryxell,0.12895089781671318
2018-11-07,West Lake Bonney,NA
2018-11-08,East Lake Bonney,0.7050616413205228
2018-11-08,Lake Hoare,0.40676914090839766
2018-11-08,Lake Fryxell,0.12545801448165922
2018-11-08,West Lake Bonney,0.786649058625953
2018-11-12,East Lake Bonney,0.5979825606463798
2018-11-12,Lake Hoare,0.1851746607733557
2018-11-12,Lake Fryxell,0.13128857040158992
2018-11-12,West Lake Bonney,0.7078139846904425
2018-11-17,East Lake Bonney,0.5674278472797128
2018-11-17,Lake Hoare,0.21869698130636037
2018-11-17,Lake Fryxell,0.1122379800384672
2018-11-17,West Lake Bonney,0.6727354023799221
2018-11-19,East Lake Bonney,0.5512168563776731
2018-11-19,Lake Hoare,0.3155132753734318
2018-11-19,Lake Fryxell,0.1312534648430362
2018-11-19,West Lake Bonney,0.654984393757695
2018-11-23,East Lake Bonney,0.3541461809533508
2018-11-23,Lake Hoare,0.27974433611767985
2018-11-23,Lake Fryxell,0.14035159758586727
2018-11-23,West Lake Bonney,NA
2018-11-24,East Lake Bonney,0.5325450604266316
2018-11-24,Lake Hoare,0.31197383675183105
2018-11-24,Lake Fryxell,0.1367872753837903
2018-11-24,West Lake Bonney,0.6219563526078751
2018-11-26,East Lake Bonney,0.5197356956303337
2018-11-26,Lake Hoare,0.3314374798806225
2018-11-26,Lake Fryxell,0.14036615745748615
2018-11-26,West Lake Bonney,0.5937050035992735
2018-11-28,East Lake Bonney,0.5185104629673759
2018-11-28,Lake Hoare,0.29290066243217727
2018-11-28,Lake Fryxell,0.13064195596283865
2018-11-28,West Lake Bonney,0.589346962689313
2018-11-30,East Lake Bonney,0.47722234573365746
2018-11-30,Lake Hoare,0.23454186593279702
2018-11-30,Lake Fryxell,0.1215656494262628
2018-11-30,West Lake Bonney,0.5686967286323367
2018-12-05,East Lake Bonney,0.43546100079652406
2018-12-05,Lake Hoare,0.20385810563531878
2018-12-05,Lake Fryxell,0.15982302551159605
2018-12-05,West Lake Bonney,0.5523351515402243
2018-12-30,East Lake Bonney,0.4428701688920959
2018-12-30,Lake Hoare,0.3118757020017253
2018-12-30,Lake Fryxell,0.1564596678056278
2018-12-30,West Lake Bonney,0.5368257394081587
2019-01-01,East Lake Bonney,0.46377104977899547
2019-01-01,Lake Hoare,0.3660399991336912
2019-01-01,Lake Fryxell,0.19414407667641786
2019-01-01,West Lake Bonney,0.5640809423116411
2019-01-04,East Lake Bonney,0.4640833687722759
2019-01-04,Lake Hoare,0.3612334522251682
2019-01-04,Lake Fryxell,0.1945916987743513
2019-01-04,West Lake Bonney,0.5545718237814085
2019-01-06,East Lake Bonney,0.46281103892125197
2019-01-06,Lake Hoare,0.37132623033925105
2019-01-06,Lake Fryxell,0.2143696767444595
2019-01-06,West Lake Bonney,0.5592318753529767
2019-01-10,East Lake Bonney,NA
2019-01-10,Lake Hoare,NA
2019-01-10,Lake Fryxell,0.2197532208413561
2019-01-10,West Lake Bonney,NA
2019-01-11,East Lake Bonney,0.4916559315169768
2019-01-11,Lake Hoare,0.46117571846197547
2019-01-11,Lake Fryxell,0.2034315329659903
2019-01-11,West Lake Bonney,0.5672953332486101
2019-01-15,East Lake Bonney,0.4710859203770902
2019-01-15,Lake Hoare,0.36426935050196046
2019-01-15,Lake Fryxell,0.19009030349527356
2019-01-15,West Lake Bonney,0.5668865566400205
2019-01-24,East Lake Bonney,0.5419876386727113
2019-01-24,Lake Hoare,0.3562501892959511
2019-01-24,Lake Fryxell,0.18848793117424273
2019-01-24,West Lake Bonney,0.6381290331858037
2019-01-26,East Lake Bonney,NA
2019-01-26,Lake Hoare,NA
2019-01-26,Lake Fryxell,0.16433999593019993
2019-01-26,West Lake Bonney,NA
2019-11-06,East Lake Bonney,0.6528067126695871
2019-11-06,Lake Hoare,0.570757858957699
2019-11-06,Lake Fryxell,0.3191350219886049
2019-11-06,West Lake Bonney,0.7570694634246811
