time,depth,temperature,thickness,Iteration
2016-12-21T07:15:00Z,0,275.06199999999995,3.88,1
2016-12-21T08:15:00Z,0,275.06199999999995,3.87949014768941,2
2016-12-21T09:15:00Z,0,275.155,3.879179681020905,3
2016-12-21T10:15:00Z,0,275.671,3.878990973629894,4
2016-12-21T11:15:00Z,0,275.16499999999996,3.87897845330346,5
2016-12-21T12:15:00Z,0,275.75899999999996,3.8789659491629647,6
2016-12-21T13:15:00Z,0,277.27299999999997,3.8789534510681163,7
2016-12-21T14:15:00Z,0,277.265,3.8789409579915874,8
2016-12-21T15:15:00Z,0,276.219,3.8789284680016176,9
2016-12-21T16:15:00Z,0,276.212,3.8788887536352608,10
2016-12-21T17:15:00Z,0,276.169,3.878876264929,11
2016-12-21T18:15:00Z,0,276.12199999999996,3.878800617323194,12
2016-12-21T19:15:00Z,0,276.14099999999996,3.8778048571641777,13
2016-12-21T20:15:00Z,0,276.00899999999996,3.876823633694524,14
2016-12-21T21:15:00Z,0,275.587,3.875932534824141,15
2016-12-21T22:15:00Z,0,274.859,3.875211087530519,16
2016-12-21T23:15:00Z,0,274.57399999999996,3.8738082985834272,17
2016-12-22T00:15:00Z,0,274.777,3.871589990854408,18
2016-12-22T01:15:00Z,0,273.53299999999996,3.869792746418671,19
2016-12-22T02:15:00Z,0,273.025,3.86913319926138,20
2016-12-22T03:15:00Z,0,272.02599999999995,3.868630775462837,21
2016-12-22T04:15:00Z,0,271.397,3.8681904491387207,22
2016-12-22T05:15:00Z,0,271.49899999999997,3.8678079930213864,23
2016-12-22T06:15:00Z,0,272.36199999999997,3.866724114561599,24
2016-12-22T07:15:00Z,0,273.111,3.8663025327298066,25
2016-12-22T08:15:00Z,0,278.41999999999996,3.8648142613610412,26
2016-12-22T09:15:00Z,0,275.67499999999995,3.8648011632588037,27
2016-12-22T10:15:00Z,0,274.83599999999996,3.8647881818787013,28
2016-12-22T11:15:00Z,0,274.378,3.864775239109634,29
2016-12-22T12:15:00Z,0,274.988,3.8643330990372764,30
2016-12-22T13:15:00Z,0,274.632,3.8642505030429013,31
2016-12-22T14:15:00Z,0,274.53999999999996,3.864237609499046,32
2016-12-22T15:15:00Z,0,274.226,3.8641772418461526,33
2016-12-22T16:15:00Z,0,274.631,3.863888672091294,34
2016-12-22T17:15:00Z,0,273.67999999999995,3.863875805517893,35
2016-12-22T18:15:00Z,0,273.758,3.8636034895153544,36
2016-12-22T19:15:00Z,0,273.659,3.8633120822113196,37
2016-12-22T20:15:00Z,0,273.31699999999995,3.863299225162063,38
2016-12-22T21:15:00Z,0,273.277,3.8628296528957455,39
2016-12-22T22:15:00Z,0,273.221,3.8622421380322196,40
2016-12-22T23:15:00Z,0,272.888,3.8612764259470818,41
2016-12-23T00:15:00Z,0,273.068,3.8604994116885876,42
2016-12-23T01:15:00Z,0,272.76399999999995,3.859929968253463,43
2016-12-23T02:15:00Z,0,272.791,3.8588170851293437,44
2016-12-23T03:15:00Z,0,272.354,3.8568542584570364,45
2016-12-23T04:15:00Z,0,271.721,3.8539593497139437,46
2016-12-23T05:15:00Z,0,271.964,3.8512057510963023,47
2016-12-23T06:15:00Z,0,272.42499999999995,3.8498405427289137,48
2016-12-23T07:15:00Z,0,272.53799999999995,3.848429102629478,49
2016-12-23T08:15:00Z,0,273.30699999999996,3.847408541967686,50
2016-12-23T09:15:00Z,0,273.818,3.84706521698711,51
2016-12-23T10:15:00Z,0,273.248,3.8470517863862277,52
2016-12-23T11:15:00Z,0,274.06899999999996,3.8467816432185296,53
2016-12-23T12:15:00Z,0,275.858,3.8463706039163537,54
2016-12-23T13:15:00Z,0,275.62699999999995,3.846357298859261,55
2016-12-23T14:15:00Z,0,274.659,3.84632812268557,56
2016-12-23T15:15:00Z,0,273.98699999999997,3.8460092230002685,57
2016-12-23T16:15:00Z,0,274.484,3.8457087811915334,58
2016-12-23T17:15:00Z,0,275.05499999999995,3.84531963452753,59
2016-12-23T18:15:00Z,0,274.262,3.8452291256983746,60
2016-12-23T19:15:00Z,0,273.685,3.845185973994725,61
2016-12-23T20:15:00Z,0,273.27299999999997,3.844603744394744,62
2016-12-23T21:15:00Z,0,273.085,3.8436717795877104,63
2016-12-23T22:15:00Z,0,272.54999999999995,3.842999127205378,64
2016-12-23T23:15:00Z,0,272.34099999999995,3.840987909334992,65
2016-12-24T00:15:00Z,0,272.40599999999995,3.83870348804414,66
2016-12-24T01:15:00Z,0,271.743,3.8372643909799113,67
2016-12-24T02:15:00Z,0,271.40099999999995,3.836661611000605,68
2016-12-24T03:15:00Z,0,270.916,3.8362275923093305,69
2016-12-24T04:15:00Z,0,269.62899999999996,3.8362103369891836,70
2016-12-24T05:15:00Z,0,268.51099999999997,3.8334300934499383,71
2016-12-24T06:15:00Z,0,268.268,3.832669818136376,72
2016-12-24T07:15:00Z,0,268.267,3.831961458338821,73
2016-12-24T08:15:00Z,0,268.226,3.8316872689389383,74
2016-12-24T09:15:00Z,0,268.74899999999997,3.831149878970074,75
2016-12-24T10:15:00Z,0,270.238,3.8307896007623,76
2016-12-24T11:15:00Z,0,269.673,3.830776129304199,77
2016-12-24T12:15:00Z,0,270.924,3.830496049049151,78
2016-12-24T13:15:00Z,0,271.41999999999996,3.8300486186807916,79
2016-12-24T14:15:00Z,0,271.739,3.829941761511311,80
2016-12-24T15:15:00Z,0,271.871,3.8299283999441176,81
2016-12-24T16:15:00Z,0,271.772,3.829915076160824,82
2016-12-24T17:15:00Z,0,272.53099999999995,3.8299017825800936,83
2016-12-24T18:15:00Z,0,274.20099999999996,3.829888514276576,84
2016-12-24T19:15:00Z,0,272.96999999999997,3.829697625700492,85
2016-12-24T20:15:00Z,0,272.08299999999997,3.829105975736992,86
2016-12-24T21:15:00Z,0,272.00399999999996,3.8279999016501876,87
2016-12-24T22:15:00Z,0,271.796,3.8266734382885557,88
2016-12-24T23:15:00Z,0,271.09999999999997,3.825395113494038,89
2016-12-25T00:15:00Z,0,271.073,3.823634122268809,90
2016-12-25T01:15:00Z,0,271.03799999999995,3.821769279035287,91
2016-12-25T02:15:00Z,0,270.842,3.819871633450893,92
