date,lake,sediment
2017-12-07,East Lake Bonney,0.015828105992841318
2017-12-07,Lake Hoare,0.011486338023096352
2017-12-07,Lake Fryxell,0.03372906951990433
2017-12-07,West Lake Bonney,0.0025855608098209093
2017-12-16,East Lake Bonney,0.21644365426152953
2017-12-16,Lake Hoare,0.05560215299483396
2017-12-16,Lake Fryxell,0.0015621245774673294
2017-12-16,West Lake Bonney,0.1573935828357935
2017-12-23,East Lake Bonney,0.22874672677367922
2017-12-23,Lake Hoare,0.062216162306576915
2017-12-23,Lake Fryxell,0.005197805035186331
2017-12-23,West Lake Bonney,0.18104230958968404
2018-01-03,East Lake Bonney,0.006230782778293381
2018-01-03,Lake Hoare,0.08309578428510554
2018-01-03,Lake Fryxell,0.01930909176717248
2018-01-03,West Lake Bonney,0.006537447618684401
2018-01-05,East Lake Bonney,0.012762828952872951
2018-01-05,Lake Hoare,0.07382410801597887
2018-01-05,Lake Fryxell,0.017091426536208
2018-01-05,West Lake Bonney,0.1672859711945056
2018-01-07,East Lake Bonney,NA
2018-01-07,Lake Hoare,NA
2018-01-07,Lake Fryxell,0.020205905590555594
2018-01-07,West Lake Bonney,NA
2018-01-10,East Lake Bonney,0.020717265245766645
2018-01-10,Lake Hoare,0.07188912929501375
2018-01-10,Lake Fryxell,0.014184591476259847
2018-01-10,West Lake Bonney,5.336667527444661e-6
2018-01-12,East Lake Bonney,0.046318575221957835
2018-01-12,Lake Hoare,0.07076722604688257
2018-01-12,Lake Fryxell,0.017115717831475228
2018-01-12,West Lake Bonney,0.004800528457690247
2018-01-14,East Lake Bonney,0.015557846906012888
2018-01-14,Lake Hoare,0.06942124972090802
2018-01-14,Lake Fryxell,0.022941354115027988
2018-01-14,West Lake Bonney,0.003485358438047125
2018-01-19,East Lake Bonney,0.01863312063564079
2018-01-19,Lake Hoare,0.07751581130782154
2018-01-19,Lake Fryxell,0.02874929402314598
2018-01-19,West Lake Bonney,0.007835228320291238
2018-01-26,East Lake Bonney,0.3197213540971279
2018-01-26,Lake Hoare,0.20956416787579626
2018-01-26,Lake Fryxell,0.015048760956778979
2018-01-26,West Lake Bonney,0.3205975864827634
2018-01-30,East Lake Bonney,0.2396917939931155
2018-01-30,Lake Hoare,0.16479002399835757
2018-01-30,Lake Fryxell,0.006294336529390433
2018-01-30,West Lake Bonney,0.23774446863681092
2018-11-05,East Lake Bonney,0.41991535954177384
2018-11-05,Lake Hoare,0.29464800531510266
2018-11-05,Lake Fryxell,0.020290711220586732
2018-11-05,West Lake Bonney,0.47891883261501816
2018-11-07,East Lake Bonney,0.20770722450245013
2018-11-07,Lake Hoare,0.11927730508323302
2018-11-07,Lake Fryxell,0.017519466979429164
2018-11-07,West Lake Bonney,NA
2018-11-08,East Lake Bonney,0.3291663735755718
2018-11-08,Lake Hoare,0.12569776278513034
2018-11-08,Lake Fryxell,0.012829393788706511
2018-11-08,West Lake Bonney,0.3049765411391853
2018-11-12,East Lake Bonney,0.2287436365988105
2018-11-12,Lake Hoare,0.013318714210763569
2018-11-12,Lake Fryxell,0.02466149550979024
2018-11-12,West Lake Bonney,0.208512064423412
2018-11-17,East Lake Bonney,0.18156835771878832
2018-11-17,Lake Hoare,0.043811314043123474
2018-11-17,Lake Fryxell,0.006621415195986628
2018-11-17,West Lake Bonney,0.14704770615906448
