date,lake,sediment,ice_abundance,sediment_abundance,approx_albedo
2016-11-02,East Lake Bonney,0.7219562892287078,0.7219562892287078,0.2780437107712922,0.663452440823127
2016-11-02,West Lake Bonney,0.9696875299696529,0.9696875299696529,0.030312470030347094,0.8423143966380894
2016-11-04,East Lake Bonney,0.7286179497224656,0.7286179497224656,0.27138205027753437,0.6682621596996201
2016-11-04,West Lake Bonney,0.9699724636406715,0.9699724636406715,0.030027536359328533,0.8425201187485648
2016-11-06,East Lake Bonney,0.72143603036536,0.72143603036536,0.27856396963464003,0.6630768139237899
2016-11-06,West Lake Bonney,0.9663793083443453,0.9663793083443453,0.03362069165565473,0.8399258606246173
2016-11-08,East Lake Bonney,0.7082831166504283,0.7082831166504283,0.2917168833495717,0.6535804102216092
2016-11-08,West Lake Bonney,0.9559863587187898,0.9559863587187898,0.044013641281210214,0.8324221509949662
2016-11-13,East Lake Bonney,0.7094174658089284,0.7094174658089284,0.2905825341910716,0.6543994103140462
2016-11-13,West Lake Bonney,0.9100350591473048,0.9100350591473048,0.08996494085269524,0.7992453127043541
2016-11-15,East Lake Bonney,0.7025810248982682,0.7025810248982682,0.29741897510173176,0.6494634999765496
2016-11-15,West Lake Bonney,0.9482455425925728,0.9482455425925728,0.051754457407427235,0.8268332817518375
2016-12-10,East Lake Bonney,0.7498097317275333,0.7498097317275333,0.2501902682724667,0.683562626307279
2016-12-10,West Lake Bonney,0.965487490612489,0.965487490612489,0.03451250938751105,0.839281968222217
2016-12-13,East Lake Bonney,0.5866767054798073,0.5866767054798073,0.4133232945201927,0.5657805813564208
2016-12-13,West Lake Bonney,0.9287403119206256,0.9287403119206256,0.07125968807937444,0.8127505052066917
2016-12-15,East Lake Bonney,0.49305728406812094,0.49305728406812094,0.5069427159318791,0.4981873590971833
2016-12-15,West Lake Bonney,0.9010786352343663,0.9010786352343663,0.09892136476563373,0.7927787746392124
2016-12-17,East Lake Bonney,0.43394060011218116,0.43394060011218116,0.5660593998878188,0.4555051132809948
2016-12-17,West Lake Bonney,0.8910240886792771,0.8910240886792771,0.10897591132072293,0.7855193920264381
2016-12-24,East Lake Bonney,0.7679117727710685,0.7679117727710685,0.23208822722893152,0.6966322999407114
2016-12-24,West Lake Bonney,0.9647674749316422,0.9647674749316422,0.035232525068357834,0.8387621169006456
2017-01-02,East Lake Bonney,0.8514659126684326,0.8514659126684326,0.14853408733156737,0.7569583889466084
2017-01-02,West Lake Bonney,0.9771433656099947,0.9771433656099947,0.022856634390005293,0.8476975099704162
2017-01-11,East Lake Bonney,0.8095331118553728,0.8095331118553728,0.1904668881446272,0.7266829067595791
2017-01-11,West Lake Bonney,0.9589909017311075,0.9589909017311075,0.04100909826889254,0.8345914310498596
2017-01-14,East Lake Bonney,0.870760411822044,0.870760411822044,0.129239588177956,0.7708890173355157
2017-01-14,West Lake Bonney,0.9333951104472291,0.9333951104472291,0.06660488955277089,0.8161112697428994
2017-01-18,East Lake Bonney,0.8838161170858156,0.8838161170858156,0.11618388291418436,0.7803152365359589
2017-01-18,West Lake Bonney,0.951127058247552,0.951127058247552,0.04887294175244805,0.8289137360547325
2017-01-25,East Lake Bonney,0.8150407725985528,0.8150407725985528,0.1849592274014472,0.730659437816155
2017-01-25,West Lake Bonney,0.9263916626096365,0.9263916626096365,0.07360833739036354,0.8110547804041575
2017-01-27,East Lake Bonney,0.80898327715883,0.80898327715883,0.19101672284117,0.7262859261086753
2017-01-27,West Lake Bonney,0.9321975424441512,0.9321975424441512,0.0678024575558488,0.8152466256446771
2017-01-30,East Lake Bonney,0.81827591189643,0.81827591189643,0.18172408810357,0.7329952083892224
2017-01-30,West Lake Bonney,0.9203575867685264,0.9203575867685264,0.07964241323147359,0.806698177646876
2017-11-07,East Lake Bonney,0.9814786523134512,0.9814786523134512,0.018521347686548784,0.8508275869703118
2017-11-07,West Lake Bonney,0.9897951757779289,0.9897951757779289,0.01020482422207114,0.8568321169116646
2017-11-18,East Lake Bonney,0.9538437617971909,0.9538437617971909,0.04615623820280912,0.8308751960175718
2017-11-18,West Lake Bonney,0.9878907464820182,0.9878907464820182,0.012109253517981755,0.8554571189600172
2017-11-21,East Lake Bonney,0.9540678445953957,0.9540678445953957,0.04593215540460427,0.8310369837978757
2017-11-21,West Lake Bonney,0.9871951750337246,0.9871951750337246,0.012804824966275441,0.8549549163743491
2017-11-25,East Lake Bonney,0.929286378469337,0.929286378469337,0.07071362153066296,0.8131447652548613
2017-11-25,West Lake Bonney,0.9884979805419398,0.9884979805419398,0.011502019458060175,0.8558955419512805
2017-11-27,East Lake Bonney,0.9064472133168218,0.9064472133168218,0.09355278668317824,0.7966548880147453
2017-11-27,West Lake Bonney,0.9688428378529048,0.9688428378529048,0.031157162147095185,0.8417045289297972
2017-11-30,East Lake Bonney,0.8529487888961526,0.8529487888961526,0.14705121110384745,0.7580290255830221
2017-11-30,West Lake Bonney,0.8812838524428004,0.8812838524428004,0.11871614755719961,0.7784869414637019
2017-12-02,East Lake Bonney,0.7331783231098471,0.7331783231098471,0.2668216768901529,0.6715547492853096
2017-12-02,West Lake Bonney,0.8810621243176961,0.8810621243176961,0.11893787568230385,0.7783268537573765
2017-12-07,East Lake Bonney,0.7456884190590602,0.7456884190590602,0.25431158094093975,0.6805870385606415
2017-12-07,West Lake Bonney,0.8708169545238976,0.8708169545238976,0.12918304547610238,0.7709298411662541
2017-12-16,East Lake Bonney,0.8040585069585287,0.8040585069585287,0.19594149304147135,0.7227302420240577
