date,lake,sediment
2016-11-02,East Lake Bonney,0.47892430246463635
2016-11-02,Lake Hoare,0.30818760765984887
2016-11-02,Lake Fryxell,0.003222116585276879
2016-11-02,West Lake Bonney,0.23414605594431892
2016-11-04,East Lake Bonney,0.36072825085897864
2016-11-04,Lake Hoare,0.29907862263126866
2016-11-04,Lake Fryxell,0.003279548144782784
2016-11-04,West Lake Bonney,0.10414028023330213
2016-11-06,East Lake Bonney,0.41012492966638514
2016-11-06,Lake Hoare,0.31490556497109323
2016-11-06,Lake Fryxell,0.004955486598887016
2016-11-06,West Lake Bonney,0.14550526066723968
2016-11-08,East Lake Bonney,0.37334960065477385
2016-11-08,Lake Hoare,0.3358469531092504
2016-11-08,Lake Fryxell,0.008295806498721664
2016-11-08,West Lake Bonney,0.10889776137451204
2016-11-13,East Lake Bonney,0.23523694449012764
2016-11-13,Lake Hoare,0.7905207816059416
2016-11-13,Lake Fryxell,0.010554769884890243
2016-11-13,West Lake Bonney,0.061677551222108745
2016-11-15,East Lake Bonney,0.24158977834243991
2016-11-15,Lake Hoare,0.2225285625179772
2016-11-15,Lake Fryxell,0.010000552139085496
2016-11-15,West Lake Bonney,0.03088297509393172
2016-12-10,East Lake Bonney,0.9405714267127233
2016-12-10,Lake Hoare,0.23885859174073457
2016-12-10,Lake Fryxell,0
2016-12-10,West Lake Bonney,0.8348079773626202
2016-12-13,East Lake Bonney,0.6682525964849376
2016-12-13,Lake Hoare,0.3019908205989411
2016-12-13,Lake Fryxell,0
2016-12-13,West Lake Bonney,0.39288822680644336
2016-12-15,East Lake Bonney,0.564260213127741
2016-12-15,Lake Hoare,0.29971088319817574
2016-12-15,Lake Fryxell,0
2016-12-15,West Lake Bonney,0.1319505905495844
2016-12-17,East Lake Bonney,0.7304702545345346
2016-12-17,Lake Hoare,0.6847929954036885
2016-12-17,Lake Fryxell,0
2016-12-17,West Lake Bonney,0.2700602598061149
2016-12-19,East Lake Bonney,NA
2016-12-19,Lake Hoare,NA
2016-12-19,Lake Fryxell,0
2016-12-19,West Lake Bonney,NA
2016-12-24,East Lake Bonney,0
2016-12-24,Lake Hoare,0.046019504356070585
2016-12-24,Lake Fryxell,1.0447678577122877e-4
2016-12-24,West Lake Bonney,0
2017-01-02,East Lake Bonney,0.020982781525506453
2017-01-02,Lake Hoare,0.10802195979962195
2017-01-02,Lake Fryxell,0.015114122020496282
2017-01-02,West Lake Bonney,3.361745990466667e-4
2017-01-11,East Lake Bonney,0.05523410998382746
2017-01-11,Lake Hoare,0.14859232848402434
2017-01-11,Lake Fryxell,0.019991561077653392
2017-01-11,West Lake Bonney,0.0013627913635388946
2017-01-14,East Lake Bonney,0.02904787908455843
2017-01-14,Lake Hoare,0.14835437556289235
2017-01-14,Lake Fryxell,0.05994171029277745
2017-01-14,West Lake Bonney,0.0035459574373109264
2017-01-18,East Lake Bonney,0.024991383281941133
2017-01-18,Lake Hoare,0.12153176201764565
2017-01-18,Lake Fryxell,0.027157543091608383
2017-01-18,West Lake Bonney,0.0023633478027409714
2017-01-25,East Lake Bonney,0.08590590329934482
2017-01-25,Lake Hoare,0.17947696064032648
2017-01-25,Lake Fryxell,0.023490091651663474
2017-01-25,West Lake Bonney,0.01720283430938993
2017-01-27,East Lake Bonney,0.08047231321654194
2017-01-27,Lake Hoare,0.18163782417390412
2017-01-27,Lake Fryxell,0.022200110189442845
2017-01-27,West Lake Bonney,0.012299053838056961
2017-01-30,East Lake Bonney,0.10325487209209276
2017-01-30,Lake Hoare,0.1840616691987459
2017-01-30,Lake Fryxell,0.019354471963722034
