date,lake,sediment,ice_abundance,sediment_abundance
2016-11-02,East Lake Bonney,0.7214215817845252,0.7214215817845252,0.2785784182154748
2016-11-02,West Lake Bonney,0.9403363543534494,0.9403363543534494,0.05966364564655058
2016-11-04,East Lake Bonney,0.7233754527990958,0.7233754527990958,0.27662454720090424
2016-11-04,West Lake Bonney,0.94003680677312,0.94003680677312,0.05996319322688004
2016-11-06,East Lake Bonney,0.728221238609794,0.728221238609794,0.27177876139020596
2016-11-06,West Lake Bonney,0.932485436309682,0.932485436309682,0.06751456369031805
2016-11-08,East Lake Bonney,0.7134898613862704,0.7134898613862704,0.28651013861372965
2016-11-08,West Lake Bonney,0.9155610212428138,0.9155610212428138,0.0844389787571862
2016-11-15,East Lake Bonney,0.69294077656823,0.69294077656823,0.30705922343176995
2016-11-15,West Lake Bonney,0.9026794912058868,0.9026794912058868,0.09732050879411325
2016-12-10,East Lake Bonney,0.7787255520447672,0.7787255520447672,0.22127444795523277
2016-12-10,West Lake Bonney,0.9342176381430616,0.9342176381430616,0.06578236185693842
2016-12-13,East Lake Bonney,0.6552731961506745,0.6552731961506745,0.3447268038493255
2016-12-13,West Lake Bonney,0.9565726657326766,0.9565726657326766,0.04342733426732337
2016-12-15,East Lake Bonney,0.5469205071295749,0.5469205071295749,0.45307949287042515
2016-12-15,West Lake Bonney,0.9603664212857178,0.9603664212857178,0.03963357871428219
2016-12-17,East Lake Bonney,0.4142201574653273,0.4142201574653273,0.5857798425346727
2016-12-17,West Lake Bonney,0.9636810499436819,0.9636810499436819,0.03631895005631813
2016-12-24,East Lake Bonney,0.8059868530052368,0.8059868530052368,0.19401314699476324
2016-12-24,West Lake Bonney,0.9617327649292936,0.9617327649292936,0.038267235070706396
2017-01-02,East Lake Bonney,0.8899814667365539,0.8899814667365539,0.11001853326344613
2017-01-02,West Lake Bonney,0.9650317154136834,0.9650317154136834,0.03496828458631662
2017-01-11,East Lake Bonney,0.8783653330899367,0.8783653330899367,0.1216346669100633
2017-01-11,West Lake Bonney,0.9545697183785798,0.9545697183785798,0.045430281621420154
2017-01-14,East Lake Bonney,0.9399130589464632,0.9399130589464632,0.060086941053536846
2017-01-14,West Lake Bonney,0.9350107148774363,0.9350107148774363,0.06498928512256374
2017-01-18,East Lake Bonney,0.9287877165071906,0.9287877165071906,0.07121228349280939
2017-01-18,West Lake Bonney,0.9376728614229601,0.9376728614229601,0.062327138577039864
2017-01-25,East Lake Bonney,0.8814661247491111,0.8814661247491111,0.11853387525088888
2017-01-25,West Lake Bonney,0.9267950317758383,0.9267950317758383,0.07320496822416167
2017-01-27,East Lake Bonney,0.8685058230989283,0.8685058230989283,0.13149417690107168
2017-01-27,West Lake Bonney,0.9320034771024807,0.9320034771024807,0.06799652289751934
2017-01-30,East Lake Bonney,0.8811494017658769,0.8811494017658769,0.11885059823412314
2017-01-30,West Lake Bonney,0.915656095885831,0.915656095885831,0.08434390411416903
2017-11-07,East Lake Bonney,0.9903645105470479,0.9903645105470479,0.009635489452952117
2017-11-07,West Lake Bonney,0.8439059591914186,0.8439059591914186,0.15609404080858136
2017-11-18,East Lake Bonney,0.9859446776822994,0.9859446776822994,0.01405532231770057
2017-11-18,West Lake Bonney,0.839836487360591,0.839836487360591,0.16016351263940898
2017-11-21,East Lake Bonney,0.9794288725323266,0.9794288725323266,0.020571127467673422
2017-11-21,West Lake Bonney,0.8271186945933766,0.8271186945933766,0.1728813054066234
2017-11-25,East Lake Bonney,0.957622526154744,0.957622526154744,0.04237747384525603
2017-11-25,West Lake Bonney,0.8768012180451349,0.8768012180451349,0.12319878195486511
2017-11-27,East Lake Bonney,0.9671215735541069,0.9671215735541069,0.032878426445893116
2017-11-27,West Lake Bonney,0.91746333903298,0.91746333903298,0.08253666096701995
2017-11-30,East Lake Bonney,0.9701488727447972,0.9701488727447972,0.02985112725520278
2017-11-30,West Lake Bonney,0.9480532253221252,0.9480532253221252,0.051946774677874785
2017-12-02,East Lake Bonney,0.9143469874735272,0.9143469874735272,0.08565301252647284
2017-12-02,West Lake Bonney,0.9530486898259254,0.9530486898259254,0.04695131017407461
2017-12-07,East Lake Bonney,0.9304943731214703,0.9304943731214703,0.06950562687852968
2017-12-07,West Lake Bonney,0.9641186640285555,0.9641186640285555,0.035881335971444495
2017-12-16,East Lake Bonney,0.888990766954294,0.888990766954294,0.11100923304570598
2017-12-16,West Lake Bonney,0.9651381722481575,0.9651381722481575,0.034861827751842545
2017-12-23,East Lake Bonney,0.9320407316359897,0.9320407316359897,0.06795926836401034
2017-12-23,West Lake Bonney,0.9513712652703973,0.9513712652703973,0.04862873472960272
