date,lake,sediment,ice_abundance,sediment_abundance,approx_albedo
2016-11-02,East Lake Bonney,0.507784510589617,0.507784510589617,0.49221548941038296,0.5088204166457035
2016-11-02,West Lake Bonney,0.5707451959098402,0.5707451959098402,0.4292548040901598,0.5542780314469046
2016-11-04,East Lake Bonney,0.5152530805693866,0.5152530805693866,0.48474691943061343,0.5142127241710971
2016-11-04,West Lake Bonney,0.5687160392165809,0.5687160392165809,0.43128396078341913,0.5528129803143713
2016-11-06,East Lake Bonney,0.5126127954250729,0.5126127954250729,0.4873872045749271,0.5123064382969026
2016-11-06,West Lake Bonney,0.5629838926778024,0.5629838926778024,0.43701610732219764,0.5486743705133732
2016-11-08,East Lake Bonney,0.5002773911649159,0.5002773911649159,0.4997226088350841,0.5034002764210692
2016-11-08,West Lake Bonney,0.5526643900310803,0.5526643900310803,0.44733560996891975,0.5412236896024399
2016-11-13,East Lake Bonney,0.4978755110014162,0.4978755110014162,0.5021244889985839,0.5016661189430225
2016-11-13,West Lake Bonney,0.5283222142268847,0.5283222142268847,0.47167778577311525,0.5236486386718108
2016-11-15,East Lake Bonney,0.4936202157525289,0.4936202157525289,0.5063797842474711,0.49859379577332585
2016-11-15,West Lake Bonney,0.5475391819874618,0.5475391819874618,0.45246081801253824,0.5375232893949473
2016-12-10,East Lake Bonney,0.5328535761770289,0.5328535761770289,0.4671464238229711,0.5269202819998149
2016-12-10,West Lake Bonney,0.6168619363048052,0.6168619363048052,0.38313806369519476,0.5875743180120694
2016-12-13,East Lake Bonney,0.4544742090977614,0.4544742090977614,0.5455257909022386,0.4703303789685837
2016-12-13,West Lake Bonney,0.584753233935996,0.584753233935996,0.415246766064004,0.5643918349017891
2016-12-15,East Lake Bonney,0.407050636816632,0.407050636816632,0.592949363183368,0.43609055978160827
2016-12-15,West Lake Bonney,0.5460734257520489,0.5460734257520489,0.45392657424795113,0.5364650133929793
2016-12-17,East Lake Bonney,0.3786045888563232,0.3786045888563232,0.6213954111436768,0.41555251315426533
2016-12-17,West Lake Bonney,0.5411688570138127,0.5411688570138127,0.4588311429861873,0.5329239147639727
2016-12-24,East Lake Bonney,0.5445182350026619,0.5445182350026619,0.45548176499733806,0.5353421656719219
2016-12-24,West Lake Bonney,0.5916404464492884,0.5916404464492884,0.40835955355071163,0.5693644023363862
2017-01-02,East Lake Bonney,0.595873847680909,0.595873847680909,0.404126152319091,0.5724209180256163
2017-01-02,West Lake Bonney,0.5989096990040719,0.5989096990040719,0.40109030099592813,0.5746128026809398
2017-01-11,East Lake Bonney,0.5696311162874165,0.5696311162874165,0.4303688837125835,0.5534736659595147
2017-01-11,West Lake Bonney,0.5845149545476578,0.5845149545476578,0.4154850454523422,0.5642197971834089
2017-01-14,East Lake Bonney,0.6002917707546985,0.6002917707546985,0.39970822924530147,0.5756106584848923
2017-01-14,West Lake Bonney,0.567428199451844,0.567428199451844,0.432571800548156,0.5518831600042313
2017-01-18,East Lake Bonney,0.6145109926727655,0.6145109926727655,0.38548900732723446,0.5858769367097367
2017-01-18,West Lake Bonney,0.5802561229945993,0.5802561229945993,0.4197438770054007,0.5611449208021007
2017-01-25,East Lake Bonney,0.5640643369654073,0.5640643369654073,0.43593566303459275,0.549454451289024
2017-01-25,West Lake Bonney,0.5623268980761665,0.5623268980761665,0.43767310192383346,0.5482000204109923
2017-01-27,East Lake Bonney,0.5634802297934713,0.5634802297934713,0.43651977020652866,0.5490327259108863
2017-01-27,West Lake Bonney,0.5669558577487798,0.5669558577487798,0.43304414225122023,0.551542129294619
2017-01-30,East Lake Bonney,0.5619625085326527,0.5619625085326527,0.4380374914673473,0.5479369311605753
2017-01-30,West Lake Bonney,0.5625131257810939,0.5625131257810939,0.4374868742189061,0.5483344768139498
2017-11-07,East Lake Bonney,0.7798517322368881,0.7798517322368881,0.22014826776311192,0.7052529506750331
2017-11-07,West Lake Bonney,0.6602663287868262,0.6602663287868262,0.33973367121317377,0.6189122893840885
2017-11-18,East Lake Bonney,0.7340091261870071,0.7340091261870071,0.2659908738129929,0.6721545891070191
2017-11-18,West Lake Bonney,0.646028167281456,0.646028167281456,0.35397183271854404,0.6086323367772112
2017-11-21,East Lake Bonney,0.7243983062598958,0.7243983062598958,0.27560169374010424,0.6652155771196447
2017-11-21,West Lake Bonney,0.6569425270823902,0.6569425270823902,0.3430574729176098,0.6165125045534857
2017-11-25,East Lake Bonney,0.6942167229405461,0.6942167229405461,0.30578327705945385,0.6434244739630743
2017-11-25,West Lake Bonney,0.6627274645838114,0.6627274645838114,0.3372725354161886,0.6206892294295118
2017-11-27,East Lake Bonney,0.6847700761869796,0.6847700761869796,0.3152299238130204,0.6366039950069993
2017-11-27,West Lake Bonney,0.6600335378085481,0.6600335378085481,0.3399664621914519,0.6187442142977717
2017-11-30,East Lake Bonney,0.6369283969824823,0.6369283969824823,0.36307160301751773,0.6020623026213522
2017-11-30,West Lake Bonney,0.5980830056729611,0.5980830056729611,0.40191699432703887,0.5740159300958779
2017-12-02,East Lake Bonney,0.5308958516705872,0.5308958516705872,0.46910414832941283,0.525506804906164
2017-12-02,West Lake Bonney,0.6062779284568653,0.6062779284568653,0.39372207154313466,0.5799326643458568
2017-12-07,East Lake Bonney,0.5268507583581269,0.5268507583581269,0.4731492416418731,0.5225862475345676
2017-12-07,West Lake Bonney,0.5444014344876323,0.5444014344876323,0.45559856551236766,0.5352578357000706
2017-12-16,East Lake Bonney,0.6079036607527976,0.6079036607527976,0.39209633924720244,0.5811064430635198
