date,lake,sediment,ice_abundance,sediment_abundance
2021-12-02,West Lake Bonney,0.8276279804135217,0.8276279804135217,0.1723720195864783
2021-12-04,East Lake Bonney,0.7161825513945943,0.7161825513945943,0.2838174486054057
2021-12-04,West Lake Bonney,0.7843497220580617,0.7843497220580617,0.21565027794193825
2021-12-06,East Lake Bonney,0.6082520916355646,0.6082520916355646,0.3917479083644354
2021-12-06,West Lake Bonney,0.8196138481193157,0.8196138481193157,0.1803861518806843
2021-12-08,East Lake Bonney,0.6846132358501935,0.6846132358501935,0.3153867641498065
2021-12-08,West Lake Bonney,0.8161263781625413,0.8161263781625413,0.1838736218374587
2021-12-11,East Lake Bonney,0.8053646216067852,0.8053646216067852,0.19463537839321476
2021-12-11,West Lake Bonney,0.8275638510824993,0.8275638510824993,0.1724361489175007
2021-12-18,East Lake Bonney,0.821198019018726,0.821198019018726,0.17880198098127398
2021-12-18,West Lake Bonney,0.8231534243234532,0.8231534243234532,0.17684657567654682
2021-12-20,East Lake Bonney,0.7078798476237546,0.7078798476237546,0.29212015237624545
2021-12-20,West Lake Bonney,0.7975851068240221,0.7975851068240221,0.20241489317597794
2021-12-22,East Lake Bonney,0.7305673429438775,0.7305673429438775,0.2694326570561225
2021-12-22,West Lake Bonney,0.8097220482787107,0.8097220482787107,0.19027795172128925
2021-12-24,East Lake Bonney,0.8594473694578378,0.8594473694578378,0.14055263054216216
2021-12-24,West Lake Bonney,0.8104606683778512,0.8104606683778512,0.18953933162214875
2022-01-05,East Lake Bonney,0.4969524103023929,0.4969524103023929,0.5030475896976071
2022-01-05,West Lake Bonney,0.8026225633834964,0.8026225633834964,0.19737743661650364
2022-01-07,East Lake Bonney,0.5839951874355592,0.5839951874355592,0.4160048125644408
2022-01-07,West Lake Bonney,0.7882296476133338,0.7882296476133338,0.2117703523866662
2022-01-12,East Lake Bonney,0.6331026164998648,0.6331026164998648,0.36689738350013523
2022-01-12,West Lake Bonney,0.7943846692695385,0.7943846692695385,0.20561533073046145
2022-01-14,East Lake Bonney,0.6352985675041212,0.6352985675041212,0.36470143249587883
2022-01-14,West Lake Bonney,0.8002474393685134,0.8002474393685134,0.1997525606314866
2022-01-16,East Lake Bonney,0.6716499467017992,0.6716499467017992,0.3283500532982008
2022-01-16,West Lake Bonney,0.8034139930462065,0.8034139930462065,0.19658600695379347
2022-01-19,East Lake Bonney,0.6632892528164998,0.6632892528164998,0.33671074718350025
2022-01-19,West Lake Bonney,0.783503500117685,0.783503500117685,0.216496499882315
2022-01-25,East Lake Bonney,0.5577297713864887,0.5577297713864887,0.4422702286135113
2022-01-25,West Lake Bonney,0.8149079251404575,0.8149079251404575,0.1850920748595425
2022-01-28,East Lake Bonney,0.6516472568818612,0.6516472568818612,0.3483527431181388
2022-01-28,West Lake Bonney,0.8187752606057537,0.8187752606057537,0.18122473939424633
2022-11-14,East Lake Bonney,0.44181099384244416,0.44181099384244416,0.5581890061575558
2022-11-14,West Lake Bonney,0.7774789834962141,0.7774789834962141,0.22252101650378586
2022-11-16,East Lake Bonney,0.38592087801411606,0.38592087801411606,0.6140791219858839
2022-11-16,West Lake Bonney,0.7647412703634786,0.7647412703634786,0.2352587296365214
2022-11-19,East Lake Bonney,0.45566671784069934,0.45566671784069934,0.5443332821593007
2022-11-19,West Lake Bonney,0.7884831029919926,0.7884831029919926,0.21151689700800735
2022-11-21,East Lake Bonney,0.43506255765688695,0.43506255765688695,0.564937442343113
2022-11-21,West Lake Bonney,0.7825324027715629,0.7825324027715629,0.21746759722843712
2022-11-23,East Lake Bonney,0.4590369877108728,0.4590369877108728,0.5409630122891271
2022-11-23,West Lake Bonney,0.8026450300521284,0.8026450300521284,0.1973549699478716
2022-11-28,East Lake Bonney,0.49758138934033175,0.49758138934033175,0.5024186106596682
2022-11-28,West Lake Bonney,0.8078748730955041,0.8078748730955041,0.1921251269044959
2022-12-05,East Lake Bonney,0.6100902608540284,0.6100902608540284,0.3899097391459716
2022-12-05,West Lake Bonney,0.8046806258857826,0.8046806258857826,0.1953193741142174
2022-12-11,East Lake Bonney,0.5114696836080609,0.5114696836080609,0.4885303163919391
2022-12-11,West Lake Bonney,0.7889144311009303,0.7889144311009303,0.2110855688990697
2022-12-16,East Lake Bonney,0.676645278019554,0.676645278019554,0.323354721980446
2022-12-16,West Lake Bonney,0.813019077277044,0.813019077277044,0.18698092272295597
2022-12-18,East Lake Bonney,0.6434713360391098,0.6434713360391098,0.3565286639608902
2022-12-18,West Lake Bonney,0.8105424331736747,0.8105424331736747,0.1894575668263253
2023-01-03,East Lake Bonney,0.6302099530674844,0.6302099530674844,0.3697900469325156
2023-01-03,West Lake Bonney,0.8138427595131627,0.8138427595131627,0.18615724048683735
2023-01-10,East Lake Bonney,0.6154629778641002,0.6154629778641002,0.3845370221358998
2023-01-10,West Lake Bonney,0.8262277467118525,0.8262277467118525,0.1737722532881475
2023-01-15,East Lake Bonney,0.6843677025768584,0.6843677025768584,0.3156322974231416
2023-01-15,West Lake Bonney,0.8405192569098785,0.8405192569098785,0.1594807430901215
2023-01-22,East Lake Bonney,0.7542162673859992,0.7542162673859992,0.24578373261400077
2023-01-22,West Lake Bonney,0.8348190762015554,0.8348190762015554,0.16518092379844462
2023-01-24,East Lake Bonney,0.7245670982969612,0.7245670982969612,0.2754329017030388
2023-01-24,West Lake Bonney,0.8314589958148297,0.8314589958148297,0.16854100418517026
2023-11-17,East Lake Bonney,0.6079700961310648,0.6079700961310648,0.3920299038689352
2023-11-17,West Lake Bonney,0.8007001616473468,0.8007001616473468,0.1992998383526532
2023-11-19,East Lake Bonney,0.611705845171047,0.611705845171047,0.388294154828953
2023-11-19,West Lake Bonney,0.7989845720280124,0.7989845720280124,0.20101542797198757
2023-12-05,East Lake Bonney,0.6942981241481017,0.6942981241481017,0.30570187585189834
2023-12-05,West Lake Bonney,0.829537619367539,0.829537619367539,0.170462380632461
2023-12-19,East Lake Bonney,0.7696070508016379,0.7696070508016379,0.23039294919836206
2023-12-19,West Lake Bonney,0.8369172655310907,0.8369172655310907,0.1630827344689093
2023-12-28,East Lake Bonney,0.8035601435592908,0.8035601435592908,0.19643985644070916
