time,depth,temperature,thickness,Iteration
2023-04-15T13:15:00Z,0,244.67,4.670735492518072,55831
2023-04-15T14:15:00Z,0,244.76999999999998,4.670826500136447,55832
2023-04-15T15:15:00Z,0,244.58999999999997,4.670917568060198,55833
2023-04-15T16:15:00Z,0,244.80999999999997,4.67100869634322,55834
2023-04-15T17:15:00Z,0,244.26,4.671099885038853,55835
2023-04-15T18:15:00Z,0,244.89999999999998,4.671191134200099,55836
2023-04-15T19:15:00Z,0,244.54999999999998,4.671282443879819,55837
2023-04-15T20:15:00Z,0,243.99999999999997,4.671373814130906,55838
2023-04-15T21:15:00Z,0,243.98999999999998,4.6714652450064555,55839
2023-04-15T22:15:00Z,0,243.82,4.671556736559907,55840
2023-04-15T23:15:00Z,0,243.82999999999998,4.671648288845181,55841
2023-04-16T00:15:00Z,0,243.64,4.671739901916793,55842
2023-04-16T01:15:00Z,0,243.85999999999999,4.671831575829965,55843
2023-04-16T02:15:00Z,0,243.95,4.671923310640712,55844
2023-04-16T03:15:00Z,0,244.30999999999997,4.672015106405925,55845
2023-04-16T04:15:00Z,0,243.89,4.672106963183441,55846
2023-04-16T05:15:00Z,0,243.83999999999997,4.672198881032095,55847
2023-04-16T06:15:00Z,0,244.01999999999998,4.672290860011769,55848
2023-04-16T07:15:00Z,0,243.26999999999998,4.6723829001834245,55849
2023-04-16T08:15:00Z,0,243.89999999999998,4.672475001609128,55850
2023-04-16T09:15:00Z,0,244.14,4.672567164352066,55851
2023-04-16T10:15:00Z,0,243.02999999999997,4.6726593884765455,55852
2023-04-16T11:15:00Z,0,243.33999999999997,4.672751674047993,55853
2023-04-16T12:15:00Z,0,243.36999999999998,4.6728440211329385,55854
2023-04-16T13:15:00Z,0,243.47999999999996,4.672936429798993,55855
2023-04-16T14:15:00Z,0,243.80999999999997,4.673028900114817,55856
2023-04-16T15:15:00Z,0,243.85999999999999,4.673121432150079,55857
2023-04-16T16:15:00Z,0,243.57999999999998,4.673214025975412,55858
2023-04-16T17:15:00Z,0,244.72999999999996,4.673306681662352,55859
2023-04-16T18:15:00Z,0,244.98999999999998,4.673399399283281,55860
2023-04-16T19:15:00Z,0,244.72999999999996,4.673492178911355,55861
2023-04-16T20:15:00Z,0,245.09999999999997,4.673585020620424,55862
2023-04-16T21:15:00Z,0,245.39,4.673677924484956,55863
2023-04-16T22:15:00Z,0,246.34999999999997,4.6737708905799416,55864
2023-04-16T23:15:00Z,0,248.33999999999997,4.673834076405947,55865
2023-04-17T00:15:00Z,0,248.46999999999997,4.673927182456067,55866
2023-04-17T01:15:00Z,0,248.10999999999999,4.674020349140449,55867
2023-04-17T02:15:00Z,0,248.33999999999997,4.674113576038679,55868
2023-04-17T03:15:00Z,0,248.14999999999998,4.674206864534893,55869
2023-04-17T04:15:00Z,0,248.07,4.674300214686474,55870
2023-04-17T05:15:00Z,0,248.12999999999997,4.67439362694891,55871
2023-04-17T06:15:00Z,0,247.33999999999997,4.674487101441944,55872
2023-04-17T07:15:00Z,0,247.26999999999998,4.674580638390957,55873
2023-04-17T08:15:00Z,0,246.90999999999997,4.6746742379139805,55874
2023-04-17T09:15:00Z,0,245.97999999999996,4.67476790015778,55875
2023-04-17T10:15:00Z,0,245.07999999999998,4.674861625229124,55876
2023-04-17T11:15:00Z,0,245.58999999999997,4.674955413241117,55877
2023-04-17T12:15:00Z,0,244.67,4.675049264289617,55878
2023-04-17T13:15:00Z,0,243.52999999999997,4.675143178470066,55879
2023-04-17T14:15:00Z,0,243.09999999999997,4.675237155869079,55880
2023-04-17T15:15:00Z,0,246.30999999999997,4.6749461155568675,55881
2023-04-17T16:15:00Z,0,246.74999999999997,4.675040532700714,55882
2023-04-17T17:15:00Z,0,244.51999999999998,4.675134894147965,55883
2023-04-17T18:15:00Z,0,244.55999999999997,4.675229293711036,55884
2023-04-17T19:15:00Z,0,245.51,4.675323730782535,55885
2023-04-17T20:15:00Z,0,244.42,4.675418218240507,55886
2023-04-17T21:15:00Z,0,244.15999999999997,4.675512757186282,55887
2023-04-17T22:15:00Z,0,245.89,4.675570719901059,55888
2023-04-17T23:15:00Z,0,244.30999999999997,4.67566538972323,55889
2023-04-18T00:15:00Z,0,243.93999999999997,4.6757601153463275,55890
2023-04-18T01:15:00Z,0,242.80999999999997,4.675854896866495,55891
2023-04-18T02:15:00Z,0,243.67,4.675949736792488,55892
2023-04-18T03:15:00Z,0,242.10999999999999,4.676044635613059,55893
2023-04-18T04:15:00Z,0,242.14,4.676139594331224,55894
2023-04-18T05:15:00Z,0,241.30999999999997,4.676234613372564,55895
2023-04-18T06:15:00Z,0,241.17,4.676329693276405,55896
2023-04-18T07:15:00Z,0,242.95999999999998,4.676396343564827,55897
2023-04-18T08:15:00Z,0,242.98999999999998,4.6764915610862134,55898
2023-04-18T09:15:00Z,0,244.79999999999998,4.67656937837797,55899
2023-04-18T10:15:00Z,0,244.73999999999998,4.676664724783074,55900
2023-04-18T11:15:00Z,0,244.20999999999998,4.676760131302752,55901
